ASAP_molecule_ID,ASAP_batch_ID,ASAP_VCID,vendor_catalog_ID,vendor_batch_ID,vendor,parent_CXSMILES,salt_name,salt_ratio,MAC1_IC50_GMean_MOD,MAC1_IC50_GMean_NUM (µM),MAC1_IC50_GMean_STDDEV (×/÷),MAC1_IC50_GMean_COUNT
ASAP-0000632,ASAP-0000632-001,ASAP-VC-2749,Z7630046699,H4271425,Enamine,CC1=NC=C(CCNC(=O)C2=CSC3=C(NC(=O)NC4CC4)N=CN=C23)S1,,,>,99.5,,1
ASAP-0000635,ASAP-0000635-001,ASAP-VC-2862,Z7691995181,H4289229,Enamine,CC1=C(C)C2=C(NC(=O)C3=CC=C(S(C)(=O)=O)N=C3)N=CN=C2N1,,,>,99.5,,1
ASAP-0000660,ASAP-0000660-001,ASAP-VC-3515,Z4382826131,H4271794,Enamine,CC1=C(C)C2=C(NC(=O)[C@@H]3CCCC4=NC=CC=C43)N=CN=C2N1 |&1:9|,,,>,99.5,1.0,2
ASAP-0000663,ASAP-0000663-001,ASAP-VC-3532,Z1603313780,H4290525,Enamine,O=C(O)C[C@@H](NC(=O)C1=CC=CC2=C1NC=C2)C1=CC=C(Br)C=C1 |&1:4|,,,>,99.5,1.0,2
ASAP-0000667,ASAP-0000667-001,ASAP-VC-2947,Z7720157184,H4299813,Enamine,CN1C=C([C@@H](NC(=O)C2=CNC3=C(NC(=O)NC4CC4)C=CC=C23)C2CCC2)C=N1 |&1:4|,,,>,99.5,,1
ASAP-0000668,ASAP-0000668-001,ASAP-VC-3529,Z7691912481,H4298845,Enamine,O=C(N[C@@H](CC1=CC=C(Br)C=C1)C(=O)O)C1=NC=NC2=C1C=CN2 |&1:3|,,,>,99.5,1.0,2
ASAP-0000670,ASAP-0000670-001,ASAP-VC-3527,Z7691912375,H4284596,Enamine,O=C(O)C[C@@H](NC(=O)C1=CN=C2NC=CC2=C1)C1=CC=C(Br)C=C1 |&1:4|,,,>,99.5,1.0,2
ASAP-0000671,ASAP-0000671-001,ASAP-VC-2858,Z7691995184,H4291645,Enamine,CC(=O)NC1=CC=C(C(=O)NC2=NC=NC3=C2C(C)=C(C)N3)C=C1Cl,,,>,99.5,1.0,2
ASAP-0000673,ASAP-0000673-001,ASAP-VC-3525,Z95833714,H4305135,Enamine,CC(C)[C@@H](NC(=O)C1=CC=NC2=CC=CC=C12)C1=CC=C2OCCOC2=C1 |&1:3|,,,>,99.5,,1
ASAP-0000664,ASAP-0000664-001,ASAP-VC-2853,Z1647887628,H4295625,Enamine,CC1=C(C)C2=C(NC(=O)C3=CC=CN=C3)N=CN=C2N1,,,>,99.5,1.0,2
ASAP-0000672,ASAP-0000672-001,ASAP-VC-3526,Z7358231578,H4302217,Enamine,O=C(NCSC[C@@H](NC(=O)C1=NC=NC2=C1C=CN2)C(=O)O)C1=CC=CC=C1 |&1:6|,,,>,99.5,,1
ASAP-0000674,ASAP-0000674-001,ASAP-VC-2949,Z7720157192,H4305136,Enamine,CC(C)[C@@H](NC(=O)C1=CNC2=C(NC(=O)NC3CC3)C=CC=C12)C(F)F |&1:3|,,,>,99.5,,1
ASAP-0000675,ASAP-0000675-001,ASAP-VC-3524,Z90604368,H4305139,Enamine,CC(C)[C@@H](NCC1=CC=C(N2C=CN=C2)C=C1)C1=CC=C2OCCOC2=C1 |&1:3|,,,>,99.5,,1
ASAP-0000676,ASAP-0000676-001,ASAP-VC-2852,Z7662422770,H4295769,Enamine,CC1=C(C)C2=C(NC(=O)C3=CC=NN=C3)N=CN=C2N1,,,>,99.5,1.0,2
ASAP-0000678,ASAP-0000678-001,ASAP-VC-3522,Z7691912823,H4307229,Enamine,NS(=O)(=O)C[C@@H](NC(=O)C1=NC=NC2=C1C=CN2)C1=CC=C(Br)C=C1 |&1:5|,,,>,99.5,1.0,2
ASAP-0000679,ASAP-0000679-001,ASAP-VC-2950,Z7720157197,H4307228,Enamine,CC(C)[C@@H](CO)NC(=O)C1=CNC2=C(NC(=O)NC3CC3)C=CC=C12 |&1:3|,,,>,99.5,,1
ASAP-0000681,ASAP-0000681-001,ASAP-VC-3521,Z94829593,H4313761,Enamine,CC1=NN=C(N[C@@H](C2=CC=C3OCCOC3=C2)C(C)C)C2=CC=CC=C12 |&1:6|,,,>,99.5,,1
ASAP-0000683,ASAP-0000683-001,ASAP-VC-3520,Z1076777644,H4313759,Enamine,CC(C)[C@@H](NCC1=NC=CN1)C1=CC=C2OCCOC2=C1 |&1:3|,,,>,99.5,,1
ASAP-0000686,ASAP-0000686-001,ASAP-VC-3514,Z2672808404,H4271793,Enamine,CC1=C(C)C2=C(NC(=O)[C@@H]3CC4=CC=CC=C4CO3)N=CN=C2N1 |&1:9|,,,>,99.5,1.0,2
ASAP-0000680,ASAP-0000680-001,ASAP-VC-2886,Z7691942141,H4313228,Enamine,O=C(NC1=CC=C(C(=O)NC2=C(C(=O)O)SC3=NC=CC=C23)C=C1)NC1CC1,,,>,99.5,,1
ASAP-0000682,ASAP-0000682-001,ASAP-VC-2889,Z7691942164,H4289844,Enamine,CN1C(C(=O)O)=C(NC(=O)C2=CC=C(NC(=O)NC3CC3)C=C2)C2=CC=CC=C21,,,>,99.5,,1
ASAP-0000692,ASAP-0000692-001,ASAP-VC-3655,Z5398443179,H4285929,Enamine,COC(=O)C[C@@H](NC(=O)C1=NC=NC2=C1C=CN2)C1=CC=C(Br)C=C1 |&1:5|,,,>,99.5,,1
ASAP-0000695,ASAP-0000695-001,ASAP-VC-3654,Z1134138023,H4316985,Enamine,CC(C)[C@@H](NC1=NC(C(F)F)=NC2=CC=CC=C12)C1=CC=C2OCCOC2=C1 |&1:3|,,,>,99.5,,1
ASAP-0000696,ASAP-0000696-001,ASAP-VC-3653,Z162700812,H4313218,Enamine,CC(C)[C@@H](NCC1=CC=C(N2C=CC=N2)C=C1)C1=CC=C2OCCOC2=C1 |&1:3|,,,>,99.5,,1
ASAP-0000698,ASAP-0000698-001,ASAP-VC-3651,Z7773459261,H4313220,Enamine,CC(C)[C@@H](NC1=NC=NC2=C1C=CN2C)C1=CC=C2OCCOC2=C1 |&1:3|,,,>,99.5,,1
ASAP-0000700,ASAP-0000700-001,ASAP-VC-2857,Z1592198969,H4295767,Enamine,CC1=C(C)C2=C(NC(=O)C3=CC=C(C(F)(F)F)N=C3)N=CN=C2N1,,,>,99.5,,1
ASAP-0000701,ASAP-0000701-001,ASAP-VC-2876,Z1680010600,H4305663,Enamine,CC1=C(C)C2=C(NC(=O)C3=CN=CN=C3)N=CN=C2N1,,,>,99.5,,1
ASAP-0000703,ASAP-0000703-001,ASAP-VC-2893,Z7691942193,H4325404,Enamine,O=C(NC1=CC=C(C(=O)NC2=C(C(=O)O)NC3=CC=CC=C23)C=C1)NC1CC1,,,>,99.5,1.0,2
ASAP-0000704,ASAP-0000704-001,ASAP-VC-3650,Z1502693112,H4320870,Enamine,CC(C)[C@@H](NC1=NC=NC2=NC=CC=C12)C1=CC=C2OCCOC2=C1 |&1:3|,,,>,99.5,,1
ASAP-0000706,ASAP-0000706-001,ASAP-VC-3224,Z7801268751,H4329778,Enamine,CCOC(=O)C1=C(NC2=CC(C)=CC(C)=C2)OCC1=O,,,>,99.5,,1
ASAP-0000705,ASAP-0000705-001,ASAP-VC-3649,Z1070946542,H4320434,Enamine,CC(C)[C@@H](NCC1=CC=CC2=C1C=CN2)C1=CC=C2OCCOC2=C1 |&1:3|,,,>,99.5,,1
